group,metric,count,denominator,rate
native-overall,hit_at_4,24,24,1.0
native-overall,evidence_coverage_at_4,24,24,1.0
native-overall,answer_accuracy,11,24,0.4583333333333333
native-overall,false_refusal_rate,9,24,0.375
native-overall,correct_refusal_rate,12,12,1.0
native-overall,unsupported_answer_rate,2,15,0.13333333333333333
native-nist-ai,hit_at_4,8,8,1.0
native-nist-ai,evidence_coverage_at_4,8,8,1.0
native-nist-ai,answer_accuracy,4,8,0.5
native-nist-ai,false_refusal_rate,3,8,0.375
native-nist-ai,correct_refusal_rate,4,4,1.0
native-nist-ai,unsupported_answer_rate,1,5,0.2
native-nist-csf,hit_at_4,8,8,1.0
native-nist-csf,evidence_coverage_at_4,8,8,1.0
native-nist-csf,answer_accuracy,2,8,0.25
native-nist-csf,false_refusal_rate,5,8,0.625
native-nist-csf,correct_refusal_rate,4,4,1.0
native-nist-csf,unsupported_answer_rate,0,3,0.0
native-osha,hit_at_4,8,8,1.0
native-osha,evidence_coverage_at_4,8,8,1.0
native-osha,answer_accuracy,5,8,0.625
native-osha,false_refusal_rate,1,8,0.125
native-osha,correct_refusal_rate,4,4,1.0
native-osha,unsupported_answer_rate,1,7,0.14285714285714285
ocr-overall,hit_at_4,6,6,1.0
ocr-overall,evidence_coverage_at_4,6,6,1.0
ocr-overall,answer_accuracy,6,6,1.0
ocr-overall,false_refusal_rate,0,6,0.0
ocr-overall,correct_refusal_rate,0,0,
ocr-overall,unsupported_answer_rate,0,6,0.0
ocr-scan,hit_at_4,3,3,1.0
ocr-scan,evidence_coverage_at_4,3,3,1.0
ocr-scan,answer_accuracy,3,3,1.0
ocr-scan,false_refusal_rate,0,3,0.0
ocr-scan,correct_refusal_rate,0,0,
ocr-scan,unsupported_answer_rate,0,3,0.0
ocr-mixed,hit_at_4,3,3,1.0
ocr-mixed,evidence_coverage_at_4,3,3,1.0
ocr-mixed,answer_accuracy,3,3,1.0
ocr-mixed,false_refusal_rate,0,3,0.0
ocr-mixed,correct_refusal_rate,0,0,
ocr-mixed,unsupported_answer_rate,0,3,0.0
